,,No,주종,주류 이름
,,1,와인,퓨엔테비나 FUENTEVINA
,,2,와인,ROSA REGALE BRACHETTO D'ACQUI 2023
,,3,와인,"페어히즈 앵커 리제르바, 2022"
,,4,와인,"젬마 디 루나 모스카토, 모스카토"
,,5,황주,"石库门 9년, Shanghai Shikumen (上海老酒)"
,,6,맥주,Fedora Kölsch
,,7,와인,MOSCATO D'ASTI 2024
,,8,약주,처음술 한산 소곡주
,,9,와인,Louis Perdrier Brut Excellence
,,10,막걸리,호랑이 유자 막걸리
,,11,와인,SWEET ROSE VINO FRIZZANTE
,,12,황주,금색년화 5년
,,13,사케,아라고시 유즈 あらごし ゆず
,,14,막걸리,"서울효모방 온섶 (제 5안, 25/26 W/S)"
,,15,약주,"감탄주 (기타주류, 과하주 스타일)"
,,16,미드,허니비 와인
,,17,와인,BRICCO QUAGLIA MOSCATO D'ASTI 2022
,,18,와인,Louis Perdrier Brut Excellence (9번과 동일)
,,19,와인,PORTO VALDOURO TAWNY PORT
,,20,미드,코아베스트 사워보쉐
,,21,리큐르,복분자주 (비매품)
,,22,증류주,삭 SAK 블랙 50
,,23,사케,스이게이 토쿠베츠 준마이 (Drunken Whale)
,,24,위스키,THE GLENLEE 블렌디드 스카치 위스키 BATCH NO:2
,,25,위스키,Laproaig Quater cask
,,26,위스키,Ardbeg Corryvreckan
,,27,소주,"백제소주, 술 익는 집 에디션"
,,28,일본 소주,DAIYAME Hamada Syuzou (고구마 소주)
,,29,위스키,"필리핀 위스키, 오크 캐스크"
,,30,백주,서울고량주 레드
,,31,맥주,"KARIYA 75 브루잉 (Strawberry Fruit 세종, 골든에일, 세션IPA)"
,,32,백주,한국고량주 극락 75도
,,33,리큐르,"강소백 리큐르 (복숭아, 유자, 포도)"